a,b,c,d
1993ah,0.028488,35.33555106,0.226143926
1993ag,0.050043,36.67544157,0.167114252
1993o,0.052926,36.81688067,0.155866408
1993b,0.070086,37.4403208,0.158669048
1992bs,0.062668,37.48033126,0.15627038
1992br,0.087589,38.23128809,0.189597974
1992bp,0.078577,37.48801533,0.155790554
1992bo,0.017227,34.65285482,0.19953514
1992bl,0.042233,36.33514096,0.167648033
1992bh,0.045295,36.63291981,0.1652715
1992bg,0.03648,35.90288028,0.170400148
1992bc,0.019599,34.58491051,0.18473652
1992aq,0.100915,38.45647929,0.167818465
1992ag,0.027342,35.07426346,0.175738041
1992ae,0.074605,37.58579511,0.160110641
1992p,0.026489,35.4739512,0.191478746
1990af,0.049922,36.56371359,0.162480237
1990o,0.030604,35.54748757,0.173537589
2001cz,0.016345641,34.03576081,0.144029974
2001cn,0.0154363,33.92886225,0.149773067
2001ba,0.030529,35.59872347,0.090554745
2000ca,0.024525,35.05881149,0.1039553
2000bh,0.023953,34.96289316,0.108670309
1999gp,0.026038,35.36042561,0.110164463
1993ac,0.048948,36.72249235,0.175878782
1994m,0.024314,35.09890673,0.184772696
1994s,0.015166,34.09457527,0.217806403
1994t,0.03572,35.97842018,0.174554232
1995ac,0.048818,36.37363764,0.163660036
1995ak,0.021980006,34.84779976,0.190634594
1996c,0.0275,35.64430993,0.179523628
1996ab,0.1244,39.04744406,0.16774222
1996bl,0.036,35.81669205,0.171121786
1996bv,0.01673,34.21373347,0.212053128
1996bo,0.016321,33.99686668,0.207622958
2000fa,0.021793,34.96627474,0.231469837
2000dk,0.01645,34.17827471,0.250007931
2000cn,0.023208,35.07602317,0.230453431
2000cf,0.036457,36.1310607,0.216601022
1999gd,0.019264,34.92908183,0.239750048
1999ek,0.017605,34.33418789,0.270777214
1999cc,0.031528,35.72095766,0.224419995
1998eg,0.023536,35.16551859,0.233717264
1998ef,0.016743,34.00231064,0.247451826
1998dx,0.05371,36.47359007,0.220796341
1998co,0.016991,34.37272145,0.308392297
1998ab,0.027865,35.07969126,0.221390434
1998v,0.017173,34.25675484,0.24730267
1997dg,0.029955,35.96952979,0.223360507
1997y,0.016559,34.33595485,0.250405422
1999aa,0.015,34.16112422,0.160930618
1999ao,0.0544,36.94828686,0.085185928
1999ar,0.1561,39.22773689,0.083180324
1999aw,0.0393,36.32963388,0.098361648
1999bi,0.1241,38.80893732,0.110959981
1999bm,0.1441,38.82867186,0.156387994
1999bn,0.1299,38.97672086,0.129040617
1999bp,0.0784,37.67843349,0.086376099
2001ah,0.0583,37.02270819,0.199697932
2001ay,0.0309,35.91511543,0.176677069
2001az,0.0406,36.36355742,0.1646499
2001bf,0.0152,34.0128062,0.209050001
2001cp,0.0224,34.96044361,0.232580853
2001da,0.016,34.16651186,0.215338745
2001eh,0.0362,35.98183304,0.164155648
2001g,0.0173,34.24816759,0.210066601
2001ie,0.0312,35.61906681,0.173133568
2001n,0.0221,34.88806712,0.183198718
2001v,0.016,33.81426031,0.201710027
2002bf,0.0249,34.78445024,0.18703332
2002ck,0.0303,35.6227445,0.169350596
2002de,0.0283,35.50950003,0.172739361
2002do,0.0152,34.26117336,0.236356061
2002g,0.0345,35.95974763,0.205416561
2002hd,0.036,35.6729412,0.171522594
2002he,0.0248,35.25503624,0.177535782
2002hu,0.0292,35.99098473,0.167312607
2002hw,0.0163,34.42892248,0.206892325
2002jy,0.0187,35.0398653,0.190583332
2002kf,0.0195,34.755647,0.191040914
2003ch,0.0256,35.68216274,0.179228109
2003cq,0.0337,35.82680204,0.172930781
2003ic,0.0546,36.60341599,0.169507945
2003it,0.024,35.1708582,0.189072007
2003iv,0.0336,36.00549741,0.181737646
2003kc,0.0341,35.83235743,0.167946114
2003u,0.0261,35.35406116,0.185600393
2003w,0.0211,34.64947174,0.181464018
2004as,0.0321,35.88624613,0.166313999
2004bg,0.0221,34.92137549,0.182214269
2004ef,0.0298,35.50699569,0.209882805
2004l,0.0334,35.86121554,0.168522664
2005eq,0.0284,35.57040196,0.168292526
2005eu,0.0341,35.94275355,0.165324028
2005hc,0.045,36.59916884,0.155012862
2005hf,0.0421,36.40323546,0.162357047
2005hj,0.0576,37.10763698,0.153692702
2005iq,0.033,35.98941654,0.164165671
2005ir,0.0753,37.64928804,0.152378959
2005ki,0.0204,34.71251392,0.188558589
2005ls,0.0205,34.59735269,0.184564811
2005lz,0.0402,36.36696448,0.16296715
2005mc,0.026,35.36182883,0.176878841
2005ms,0.0259,35.40933973,0.171154394
2005na,0.0268,35.30326749,0.170978153
2006ac,0.0239,35.02331968,0.174177027
2006al,0.069,37.56328935,0.169085209
2006an,0.0651,37.33531624,0.154689426
2006ar,0.0229,35.18463931,0.178350941
2006ax,0.018,34.39477411,0.190930641
2006az,0.0315,35.647484,0.163304383
2006bq,0.0215,34.92112,0.180036324
2006br,0.0255,35.674778,0.189515901
2006bt,0.0325,35.79767255,0.162662309
2006bu,0.0843,38.05279264,0.193449865
2006bw,0.0308,35.61244483,0.171179303
2006cc,0.0327,36.07233184,0.161712348
2006cf,0.0423,36.38833762,0.164036314
2006cj,0.0684,37.72523496,0.162821861
2006cm,0.0153,34.65664865,0.207155778
2006cp,0.0233,34.86771539,0.176317048
2006cq,0.0491,36.71997439,0.168279067
2006cz,0.0425,35.91448315,0.188970108
2006ej,0.0192,34.72858783,0.191424647
2006en,0.0308,35.77372725,0.165778427
2006et,0.0212,34.83461475,0.184745792
2006gj,0.0277,35.68554245,0.176243119
2006gr,0.0335,35.96466444,0.162762917
2006kf,0.0208,34.79632376,0.1953614
2006le,0.0173,34.22907786,0.215091501
2006mo,0.036,36.14195169,0.169897388
2006mp,0.0233,35.19214937,0.178698403
2006oa,0.0589,37.13756837,0.157634615
2006ob,0.0583,37.05113451,0.160351225
2006on,0.0688,37.47433724,0.191426088
2006os,0.0321,35.62400411,0.167577472
2006ot,0.0522,36.66435498,0.182864275
2006qo,0.0308,35.58024764,0.164890394
2006s,0.0329,35.92899379,0.162681758
2006sr,0.023,35.06640275,0.179840694
2006td,0.015,34.37040324,0.211404589
2006te,0.0321,35.86555495,0.166296974
2007ae,0.0643,37.17080162,0.158132777
2007ai,0.032,35.81352434,0.186494111
2007au,0.0209,34.6890069,0.187650195
2007bc,0.0219,34.84122533,0.181514605
2007bd,0.032,35.5819126,0.16593485
2007ca,0.0151,34.50914344,0.20758759
2007ci,0.0192,34.48136652,0.190576795
2007co,0.0266,35.3141855,0.170306256
2007cp,0.0377,35.79172821,0.290373532
2007cq,0.0247,34.9096519,0.174379321
2007f,0.0242,35.19731379,0.172887454
2007o,0.0366,35.96979505,0.161226839
2007qe,0.0229,35.13073171,0.175847772
2007r,0.0312,35.8809898,0.166284241
2007s,0.015,34.08635485,0.207266601
2008af,0.0341,35.76043334,0.170422924
2008bf,0.0251,34.93930486,0.17189552
2008l,0.0189,34.37677805,0.203803442
2005kt,0.065,37.32622502,0.120378118
10106,0.147,39.55926981,0.121080634
2005ez,0.13,38.90576474,0.135784293
2005lk,0.104,38.50209986,0.120643871
2005ll,0.244,40.13933756,0.150780306
2005lf,0.3,41.06662435,0.215824547
2005ku,0.045,36.39363628,0.127260196
2005ml,0.114,38.56320283,0.120017551
2005jb,0.258,40.62275682,0.157083139
2005fc,0.297,41.15218791,0.215462355
2005mm,0.382,41.68006844,0.220813702
2005ln,0.147,39.06247772,0.126442356
2005mo,0.274,40.73428626,0.164190866
2005lo,0.299,40.78616715,0.204243299
2005lq,0.38,41.5943818,0.197647142
1166,0.382,41.27988446,0.19942396
2005lp,0.303,41.49580489,0.246333608
2005mq,0.35,41.31867918,0.218357189
2005ff,0.087,37.98495248,0.117239118
2005fd,0.262,40.54030689,0.142760435
2005fe,0.217,40.31066682,0.140960119
2005fh,0.119,38.57410145,0.114480614
2005gj,0.183,39.6049216,0.120171463
1688,0.359,41.33923395,0.202932961
2005fj,0.143,39.28195035,0.120330402
2005fo,0.262,40.82159746,0.149344667
2005fl,0.234,40.21297707,0.15237982
2005fm,0.153,39.18727502,0.114718538
2005fn,0.095,38.18770122,0.118788974
2005fr,0.288,41.05423741,0.134501367
2005fy,0.195,39.96632705,0.127181264
2005ey,0.148,39.30275496,0.112499009
2005fp,0.213,40.56991037,0.160655635
2005ft,0.181,39.64718418,0.116442236
2005fi,0.265,40.78410923,0.128294661
2005fu,0.193,40.03339165,0.121960816
2005fs,0.34,41.31673578,0.171677688
2005fv,0.118,38.75317265,0.114590986
2005fw,0.143,39.13758556,0.114524012
2005fa,0.162,39.30370242,0.119565351
2005fx,0.29,40.85966319,0.150676953
2005fz,0.124,38.80755675,0.122100458
2005go,0.265,40.55928938,0.140962476
2005gp,0.127,38.71654391,0.120227176
2005ga,0.174,39.51560683,0.114282534
2005gc,0.165,39.42050558,0.113957221
2005gs,0.251,40.78742155,0.133182502
2005gh,0.259,40.67004067,0.136851566
2005hn,0.108,38.65962425,0.118564236
2005gd,0.161,39.37735091,0.115619679
2005ge,0.206,40.03157458,0.124355782
2005gr,0.245,40.21485614,0.125152096
2005gf,0.25,40.28519037,0.126539063
2005gg,0.23,40.2680211,0.12288692
2005gb,0.087,37.98193495,0.11336751
2005ho,0.063,37.15357982,0.116292466
2005gt,0.279,40.84898551,0.170515825
2005gw,0.277,40.7532141,0.143749209
4064,0.156,39.32859682,0.116301203
2005gu,0.332,41.24099209,0.157824605
2005gv,0.363,41.39680531,0.167338045
2005gy,0.332,41.05633468,0.153791748
2005gx,0.146,39.31506561,0.113634578
2005gq,0.39,41.61787711,0.202376651
2005hp,0.175,39.5466953,0.129902758
2005hs,0.301,40.85769769,0.152785578
2005hr,0.117,38.77236772,0.113090218
2005hu,0.22,40.20779512,0.117918088
2005hx,0.121,38.7645868,0.111553736
2005hy,0.156,39.35262216,0.11283388
2005hw,0.41,41.85843597,0.208370772
2005hv,0.179,40.09885479,0.125612605
2005ia,0.252,40.75550234,0.121669684
2005jz,0.253,40.55306731,0.119228104
5737,0.393,41.51472275,0.171808247
2005hz,0.13,38.86469259,0.110314773
2005hq,0.401,41.75031758,0.207499053
2005ic,0.311,41.03416286,0.135622441
2005is,0.172,39.48551063,0.117223092
2005ie,0.28,40.78323811,0.130954483
